Cafe_Name,Maps_URL
Sri Sri Café,"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Season's Cafe,"https://www.google.com/maps/place/Season's+Cafe/@12.912024,77.5320533,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d8711029f5:0x2415d554c63820fb!8m2!3d12.912024!4d77.5670722!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11kblccpq9?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Eat N Drink,"https://www.google.com/maps/place/Eat+N+Drink/@12.9067853,77.5283128,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae156265990617:0x22be55a9cfbcb1bd!8m2!3d12.9067853!4d77.5633317!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F1pp2tzd04?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Vinaya Café,"http://google.com/maps/place/Vinaya+Caf%C3%A9/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae156c3e6d325b:0xc0a3964e1263dc6f!8m2!3d12.9058951!4d77.5802304!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F1jmcyrdbp?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Ande ka Funda,"https://www.google.com/maps/place/Ande+ka+Funda/@12.9103977,77.5317869,13z/data=!4m11!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m6!1s0x3bae15b1763cca2d:0x941259d52dc0022f!8m2!3d12.9103977!4d77.5668058!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEXbm9ydGhfaW5kaWFuX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F11qr13lwrr?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Third Wave Coffee,"https://www.google.com/maps/place/Third+Wave+Coffee/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15497405a0f5:0x460a3b0ac10b8c57!8m2!3d12.9210085!4d77.5835729!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11rfmz_5rl?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
CHAI VENUE,"https://www.google.com/maps/place/CHAI+VENUE/@12.908978,77.5277111,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae158b2b87dc13:0xa2d599a5cdffc9b3!8m2!3d12.908978!4d77.56273!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11sr0_h9tv?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Spice N Sip Mr Gowda,"https://www.google.com/maps/place/Spice+N+Sip+Mr+Gowda/@12.909362,77.5303871,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15006341cc6b:0x7ae7e393bd8ae829!8m2!3d12.909362!4d77.565406!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11whgrn97q?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Students Corner,"https://www.google.com/maps/place/Students+Corner/@12.9112948,77.5319764,13z/data=!4m11!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m6!1s0x3bae1562dcb4309b:0xdebd7164e0e8161!8m2!3d12.9112948!4d77.5669953!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F1tjjmtjk?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Alchemy Coffee Roasters,"https://www.google.com/maps/place/Alchemy+Coffee+Roasters/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae159e43217343:0xd516bc02fecd88c1!8m2!3d12.9232172!4d77.5809448!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgELY29mZmVlX3Nob3CqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F11f03t9wc2?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
